,waitlistFlag,sanctionFlag,contactDetails_address_geoLocationDetails_latitude,contactDetails_address_geoLocationDetails_longitude,Room Size,home,maximumRAD,maximumDAP
7630,True,False,-42.8158743,147.2603111,Minimum  size 10.1 (m2) Maximum size 15.5 (m2),Uniting AgeWell Strathaven,350000.0,60.22
7631,True,False,-42.8158743,147.2603111,Minimum 10.4 (m2) Maximum 21.6 (m2),Uniting AgeWell Strathaven,300000.0,51.62
7634,True,False,-37.8429167,145.172682,Minimum 11.1 (m2).  Maximum 19.9 (m2).,Uniting AgeWell Strathdon Community,550000.0,94.63
7643,True,False,-33.6166612,149.1417035,16.15,Uralba Retirement Village,165000.0,28.39
7644,True,False,-33.6166612,149.1417035,18.24,Uralba Retirement Village,175000.0,30.11
7651,False,False,-34.8403972,138.6634759,Average 14m2.,Valley View Nursing Home,350000.0,60.22
7653,False,False,-34.8403972,138.6634759,20m2,Valley View Nursing Home,275000.0,47.32
7655,False,False,-34.8403972,138.6634759,0,Valley View Nursing Home,550000.0,94.63
7656,True,False,-33.3504117,116.1631963,18,ValleyView Residence,420000.0,72.26
7658,True,False,-37.9101839,145.0180541,17.4,Vasey Brighton East,530000.0,91.19
7659,True,False,-37.9101839,145.0180541,14.7,Vasey Brighton East,530000.0,91.19
7660,True,False,-37.9101839,145.0180541,14.7,Vasey Brighton East,530000.0,91.19
7661,True,False,-37.9101839,145.0180541,13.7,Vasey Brighton East,530000.0,91.19
7662,True,False,-37.9101839,145.0180541,14.7,Vasey Brighton East,530000.0,91.19
7663,True,False,-37.9101839,145.0180541,17.4,Vasey Brighton East,530000.0,91.19
7664,True,False,-37.9101839,145.0180541,14.7,Vasey Brighton East,530000.0,91.19
7665,True,False,-37.9101839,145.0180541,13.7,Vasey Brighton East,530000.0,91.19
7666,True,False,-37.9101839,145.0180541,14.7,Vasey Brighton East,530000.0,91.19
7667,True,False,-37.9101839,145.0180541,0,Vasey Brighton East,0.0,0.0
7668,True,False,-37.7028324,145.0546767,17.3,Vasey House,450000.0,77.42
7669,True,False,-37.7028324,145.0546767,13.5,Vasey House,450000.0,77.42
7670,True,False,-37.7028324,145.0546767,13.5,Vasey House,450000.0,77.42
7671,True,False,-37.7028324,145.0546767,13.5,Vasey House,450000.0,77.42
7672,True,False,-37.7028324,145.0546767,13.5,Vasey House,450000.0,77.42
7673,True,False,-37.7028324,145.0546767,15.3,Vasey House,450000.0,77.42
7674,True,False,-37.7028324,145.0546767,13.5,Vasey House,450000.0,77.42
7688,True,False,-37.8334721,145.2094254,18,Vermont Aged Care,400000.0,68.82
7689,True,False,-37.8334721,145.2094254,18 (min),Vermont Aged Care,450000.0,77.42
7690,True,False,-37.8334721,145.2094254,26.5,Vermont Aged Care,550000.0,94.63
7691,True,False,-37.8334721,145.2094254,16 m2,Vermont Aged Care,350000.0,60.22
7694,True,False,-37.887482,145.010079,25.5,Victoria by the Park,595868.0,102.52
7697,True,False,-37.887482,145.010079,27.5,Victoria by the Park,683168.0,117.54
7699,True,False,-37.887482,145.010079,40,Victoria by the Park,850000.0,146.25
7700,True,False,-37.887482,145.010079,23.8,Victoria by the Park,595868.0,102.52
7701,True,False,-37.887482,145.010079,36.5,Victoria by the Park,720000.0,123.88
7702,True,False,-37.887482,145.010079,35,Victoria by the Park,840509.0,144.61
7706,True,False,-37.859129,145.1841767,22,Victoria Grange Residential Aged Care Facility,450000.0,77.42
7707,True,False,-37.859129,145.1841767,22.7,Victoria Grange Residential Aged Care Facility,500000.0,86.03
7708,True,False,-37.859129,145.1841767,22.7,Victoria Grange Residential Aged Care Facility,400000.0,68.82
7709,True,False,-37.859129,145.1841767,22.7,Victoria Grange Residential Aged Care Facility,550000.0,94.63
7710,True,False,-37.859129,145.1841767,22,Victoria Grange Residential Aged Care Facility,300000.0,51.62
7711,True,False,-37.859129,145.1841767,23,Victoria Grange Residential Aged Care Facility,600000.0,103.23
